20260909 184600;29760.25;29760.25;29760.25;29760.25;1
20260909 184900;29757;29757.75;29755;29755;5
20260909 185400;29765;29765;29765;29765;1
20260909 185500;29761.75;29761.75;29761.75;29761.75;1
20260909 185600;29761.75;29766;29761.25;29761.5;10
20260909 185800;29751.25;29751.25;29750;29750;3
20260909 185900;29745;29745;29745;29745;1
20260909 190000;29748;29748;29748;29748;2
20260909 190100;29739;29740;29735;29737.75;8
20260909 190200;29741.5;29741.5;29734;29734.5;7
20260909 190300;29732.25;29732.25;29727;29727.25;13
20260909 190500;29728.25;29728.25;29726;29726.75;13
20260909 190600;29731.5;29731.5;29731.5;29731.5;2
20260909 190700;29727;29733;29725.75;29733;9
20260909 190800;29740;29744;29739.75;29744;10
20260909 190900;29746;29748;29746;29748;5
20260909 191000;29742.5;29747.75;29741.25;29747.75;4
20260909 191100;29744.25;29744.25;29744.25;29744.25;1
20260909 191200;29748;29748;29748;29748;1
20260909 191500;29743.75;29743.75;29743.75;29743.75;1
20260909 191600;29747.75;29757;29747.75;29757;9
20260909 191700;29754.75;29756.75;29753.5;29753.75;5
20260909 191800;29750.75;29750.75;29750.75;29750.75;1
20260909 191900;29758.25;29763;29758.25;29763;7
20260909 192000;29760.25;29760.25;29760.25;29760.25;1
20260909 192200;29756.75;29760.75;29756.75;29760.75;6
20260909 192300;29760.25;29760.25;29757.5;29757.5;6
20260909 192400;29760;29760;29760;29760;1
20260909 192700;29757.75;29757.75;29757.75;29757.75;1
20260909 193100;29747;29751.25;29747;29750.5;19
20260909 193200;29747.5;29747.5;29747.5;29747.5;1
20260909 193300;29740;29740;29740;29740;1
20260909 193400;29742;29743.75;29742;29743.75;4
20260909 193700;29740;29741;29737;29737;7
20260909 193800;29734.5;29734.5;29734;29734;7
20260909 193900;29734.5;29737.5;29734.5;29737.5;4
20260909 194000;29735.25;29735.25;29735.25;29735.25;1
20260909 194100;29736;29738.75;29736;29738.75;20
20260909 194400;29732.75;29735;29732.75;29735;3
20260909 194500;29739.75;29739.75;29739.75;29739.75;2
20260909 194600;29740.75;29743;29740.75;29743;8
20260909 194700;29735;29735;29735;29735;1
20260909 194800;29738.75;29738.75;29735;29735;2
20260909 194900;29738.75;29741.5;29738.75;29741.5;5
20260909 195000;29743.5;29744.5;29739.75;29739.75;4
20260909 195100;29741.25;29742.75;29740;29740;11
20260909 195200;29730;29731;29727;29727;7
20260909 195300;29735;29735;29732.75;29732.75;4
20260909 195400;29731;29734.25;29731;29732.75;14
20260909 195500;29739.25;29740;29736.5;29736.5;13
20260909 195600;29734.25;29734.25;29719;29724.25;48
20260909 195700;29729;29729;29729;29729;4
20260909 195800;29724.5;29724.5;29724.5;29724.5;1
20260909 195900;29729;29730.25;29729;29730.25;6
20260909 200000;29737.25;29749.75;29729.75;29748.75;70
20260909 200100;29749;29752;29745.25;29745.25;24
20260909 200300;29737.75;29739.25;29737.25;29739.25;16
20260909 200400;29736.25;29737;29733.75;29736;52
20260909 200500;29730.25;29730.5;29730.25;29730.5;3
20260909 200700;29737;29737;29737;29737;1
20260909 200800;29736.5;29736.5;29736.5;29736.5;1
20260909 200900;29743.25;29743.25;29743.25;29743.25;1
20260909 201000;29745;29745;29742;29743.75;3
