qld_time,timestamp,symbol,side,price,size_usd,remaining_usd
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1025020.78,1025020.78
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1003810.5,1003810.5
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,970231.91,970231.91
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,956855.62,956855.62
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,944546.97,944546.97
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,934273.17,934273.17
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,933452.23,933452.23
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,906535.95,906535.95
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,893891.52,893891.52
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,886742.27,886742.27
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,882269.44,882269.44
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,882229.55,882229.55
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,876958.36,876958.36
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,867182.47,867182.47
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,864544.47,864544.47
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,851099.53,851099.53
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,840464.26,840464.26
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,839719.8,839719.8
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,839611.67,839611.67
