qld_time,timestamp,eth_price,nq_price,yellow_count,funding_open,funding_high,funding_low,funding_close,oi_open,oi_high,oi_low,oi_close,cvd_agg_buy,cvd_agg_sell,cvd_delta
2026-06-29 19:29:38,2026-06-29T09:29:38.708Z,1573.83,29720.00,3,0.001193,0.001273,0.001193,0.001273,3664280075.26,3664280075.26,3659347929.73,3662714002.68,2782969.22,3456531.13,-10209115.05
2026-06-29 19:31:28,2026-06-29T09:31:28.114Z,1574.55,29720.00,2,0.001273,0.001356,0.001273,0.001356,3661455097.68,3665811046.34,3661455097.68,3665702438.41,1760834.06,5076499.21,-1960140.54
2026-06-29 19:32:31,2026-06-29T09:32:31.022Z,1574.89,29720.00,1,0.001356,0.001421,0.001356,0.001421,3665702438.41,3665702438.41,3661387348.18,3663457075.44,178206.13,916663.13,-9197014.59
2026-06-29 19:33:44,2026-06-29T09:33:44.235Z,1573.60,29720.00,1,0.001421,0.001421,0.001417,0.001417,3663457075.44,3663658986.84,3661774693.2,3662406251.34,364659.39,1856789.75,-8881055.37
2026-06-29 19:34:52,2026-06-29T09:34:52.668Z,1573.51,29720.00,0,0.001417,0.001417,0.001417,0.001417,3662406251.34,3663537919.76,3660873991.33,3661791119.99,2284106.04,1820811.39,-8084732.22
2026-06-29 19:35:55,2026-06-29T09:35:55.622Z,1572.25,29720.00,3,0.001417,0.001417,0.001397,0.001397,3661791119.99,3663787206.91,3661710541.23,3662860553.46,1616860.08,8753850.79,-14073405.99
2026-06-29 19:37:03,2026-06-29T09:37:03.943Z,1571.99,29720.00,1,0.001408,0.001408,0.001397,0.001408,3656289514.48,3656289514.48,3656289514.48,3656289514.48,175074.53,60818.37,-8782068.44
2026-06-29 19:38:06,2026-06-29T09:38:06.817Z,1570.87,29720.00,4,0.001408,0.001408,0.001372,0.001372,3656920481.84,3656920481.84,3656920481.84,3656920481.84,367876.60,121836.43,-8245199.36
2026-06-29 19:39:20,2026-06-29T09:39:20.022Z,1571.30,29720.00,2,0.001372,0.001372,0.001365,0.001365,3655365920.2,3656102120.33,3653501432.34,3656102120.33,597033.12,346734.57,-8677482.43
2026-06-29 19:40:28,2026-06-29T09:40:28.336Z,1572.14,29720.00,2,0.001365,0.001383,0.001365,0.001383,3656102120.33,3657224239.22,3655757066.55,3657077540.1,473710.87,1400714.63,-395816.76
2026-06-29 19:41:31,2026-06-29T09:41:31.284Z,1572.13,29720.00,2,0.001383,0.001383,0.001383,0.001383,3657077540.1,3657077540.1,3654787116.98,3654787116.98,562194.45,131361.22,1042685.88
2026-06-29 19:42:39,2026-06-29T09:42:39.459Z,1571.75,29720.00,1,0.001383,0.001449,0.001383,0.001449,3654787116.98,3655423663.6,3654787116.98,3655184767.48,3924361.13,617654.79,4866098.85
2026-06-29 19:43:42,2026-06-29T09:43:42.288Z,1572.19,29720.00,2,0.001449,0.001471,0.001449,0.001471,3655184767.48,3659151362.22,3654858168.2,3657609991.02,881030.23,1254540.18,2882050.01
2026-06-29 19:44:55,2026-06-29T09:44:55.367Z,1572.19,29720.00,1,0.001471,0.001471,0.001471,0.001471,3657609991.02,3658700693.47,3657609991.02,3658275133.11,1368746.18,2184603.86,-324237.05
2026-06-29 19:46:08,2026-06-29T09:46:08.550Z,1572.39,29720.00,1,0.001569,0.001585,0.001569,0.001585,3655347394.07,3655347394.07,3655347394.07,3655347394.07,645623.76,101755.08,4804847.52
2026-06-29 19:47:16,2026-06-29T09:47:16.639Z,1572.40,29720.00,0,0.001585,0.001585,0.001585,0.001585,3660285062.84,3660285062.84,3659212517.93,3660047131.74,251727.46,317255.06,3371862.42
2026-06-29 19:48:29,2026-06-29T09:48:29.867Z,1573.74,29720.00,2,0.001585,0.001638,0.001585,0.001638,3660047131.74,3663433858.55,3660047131.74,3663433858.55,1782958.14,4084309.82,6273754.95
2026-06-29 19:49:42,2026-06-29T09:49:42.935Z,1573.43,29720.00,1,0.001638,0.001707,0.001638,0.001707,3663433858.55,3663696480.92,3661735444.8,3661951405.44,1729986.61,685590.44,4158120.21
2026-06-29 19:50:56,2026-06-29T09:50:56.216Z,1573.24,29720.00,0,0.001707,0.001789,0.001707,0.001789,3661951405.44,3661951405.44,3660716278.12,3661064890.69,3308968.13,5421147.00,2043810.78
2026-06-29 19:52:04,2026-06-29T09:52:04.107Z,1572.05,29720.00,2,0.001789,0.001789,0.001789,0.001789,3661730887.93,3661730887.93,3661730887.93,3661730887.93,164515.80,196786.26,-7023803.14
2026-06-29 19:53:07,2026-06-29T09:53:07.038Z,1571.37,29720.00,2,0.001748,0.001758,0.001748,0.001758,3657283646.22,3657283646.22,3657283646.22,3657283646.22,197302.77,42058.46,-4151794.69
2026-06-29 19:54:20,2026-06-29T09:54:20.148Z,1571.89,29720.00,2,0.001758,0.001758,0.001758,0.001758,3657344613.21,3659321644.16,3656840584.08,3658097353.64,1242976.25,480092.35,-4735809.20
2026-06-29 19:55:28,2026-06-29T09:55:28.194Z,1572.58,29720.00,0,0.001758,0.001758,0.00173,0.00173,3658097353.64,3659754407.77,3657834221.23,3658822131.26,2164525.42,602184.56,-1239242.50
2026-06-29 19:56:31,2026-06-29T09:56:31.055Z,1573.55,29720.00,2,0.00173,0.001764,0.00173,0.001764,3658822131.26,3662422036.91,3658819682.77,3662422036.91,1554511.02,985627.28,2835163.44
2026-06-29 19:57:44,2026-06-29T09:57:44.067Z,1573.59,29720.00,2,0.001764,0.001813,0.001764,0.001813,3662422036.91,3663174552.66,3661064930.43,3661273311.34,3890354.37,2074123.44,4293195.97
2026-06-29 19:59:01,2026-06-29T09:59:01.821Z,1573.59,29720.00,1,0.001813,0.001813,0.001813,0.001813,3661273311.34,3663361414.01,3660690187.93,3661975614.55,776274.47,1120508.25,4042432.50
2026-06-29 20:00:05,2026-06-29T10:00:05.311Z,1573.60,29720.00,1,0.001836,0.001836,0.001784,0.001784,3661561642.59,3661561642.59,3661561642.59,3661561642.59,187559.12,86456.21,3031467.21
2026-06-29 20:01:18,2026-06-29T10:01:18.630Z,1574.42,29720.00,2,0.001784,0.001784,0.001784,0.001784,3662039268.29,3664848559.82,3662009035.96,3664375691.84,829840.56,1088365.16,5071838.64
2026-06-29 20:02:26,2026-06-29T10:02:26.777Z,1576.66,29720.00,2,0.001784,0.001784,0.001729,0.001729,3664375691.84,3667850927.54,3664375691.84,3667850927.54,5108431.54,1971782.63,9027478.17
2026-06-29 20:03:29,2026-06-29T10:03:29.568Z,1576.70,29720.00,1,0.001729,0.001806,0.001729,0.001806,3667850927.54,3669754282.5,3667850927.54,3669635179.09,1818224.80,3149810.24,7191054.01
2026-06-29 20:04:32,2026-06-29T10:04:32.263Z,1576.70,29720.00,1,0.001806,0.001806,0.001806,0.001806,3669635179.09,3669889775.62,3667619992.62,3667619992.62,1433817.53,3484945.90,2276660.47
2026-06-29 20:05:40,2026-06-29T10:05:40.405Z,1576.58,29720.00,1,0.001806,0.002,0.001806,0.002,3667619992.62,3668786536.4,3666754595.65,3666946109.86,1056502.59,1349797.99,-1242099.40
2026-06-29 20:06:43,2026-06-29T10:06:43.282Z,1576.51,29720.00,1,0.002,0.002129,0.002,0.002129,3666946109.86,3669352936.91,3666946109.86,3669352936.91,5063287.39,5205870.86,-4248973.67
2026-06-29 20:07:51,2026-06-29T10:07:51.302Z,1577.59,29720.00,1,0.002129,0.002233,0.002129,0.002233,3669352936.91,3669767874.15,3667516930.6,3667516930.6,8599901.00,4791032.29,-2551703.38
2026-06-29 20:08:54,2026-06-29T10:08:54.045Z,1577.58,29720.00,0,0.002233,0.002233,0.002233,0.002233,3667516930.6,3673315917.57,3667516930.6,3672700806.89,2549151.26,3904523.08,-793494.80
2026-06-29 20:10:08,2026-06-29T10:10:08.233Z,1581.91,29720.00,3,0.002257,0.002359,0.002257,0.002359,3672979851.86,3672979851.86,3672979851.86,3672979851.86,23889224.31,9302806.79,57722137.55
2026-06-29 20:11:47,2026-06-29T10:11:47.227Z,1581.84,29720.00,3,0.002359,0.002359,0.002359,0.002359,3680076228.98,3684214236.22,3679841502.1,3680209008.22,3573103.13,8121458.69,39287830.68
2026-06-29 20:12:55,2026-06-29T10:12:55.296Z,1580.58,29720.00,4,0.002359,0.002542,0.002359,0.002542,3680209008.22,3680589337.93,3678139470.66,3678139470.66,4502477.69,9327889.97,26465575.69
2026-06-29 20:14:03,2026-06-29T10:14:03.311Z,1581.01,29720.00,3,0.002693,0.00278,0.002542,0.00278,3681647889.42,3681647889.42,3681647889.42,3681647889.42,360370.90,64262.75,-16690170.76
