time,taker_buy_vol,taker_sell_vol,cum_vol_delta
1778436000000,12148817.3373,14217250.6972,-864842657.4771
1778439600000,13584206.8174,12342858.965,-863601309.6247
1778443200000,29180463.5869,43192440.9007,-877613286.9385
1778446800000,15852378.3578,19968072.7146,-881728981.2953
1778450400000,42677582.5171,36772622.1109,-875824020.8891
1778454000000,28296289.8575,25614105.7739,-873141836.8055
1778457600000,19369446.7311,26192880.4354,-879965270.5098
1778461200000,11723886.3698,10191338.4342,-878432722.5742
1778464800000,8872773.3764,12921810.0146,-882481759.2124
1778468400000,22798720.0383,29445282.1987,-889128321.3728
1778472000000,11420702.8302,13908795.1735,-891616413.7161
1778475600000,10080236.4051,12894586.2805,-894430763.5915
1778479200000,8022618.5389,13506959.3124,-899915104.365
1778482800000,4624781.9745,7950692.8455,-903241015.236
1778486400000,8041378.9042,8624779.9534,-903824416.2852
1778490000000,5120554.3239,4478700.6533,-903182562.6146
1778493600000,5046845.0755,7728908.9685,-905864626.5076
1778497200000,3879487.9808,6875066.4676,-908860204.9944
1778500800000,6908448.377,9755439.0196,-911707195.637
1778504400000,15073088.9918,21679536.339,-918313642.9842
1778508000000,17610218.7426,24781734.0628,-925485158.3044
1778511600000,14767306.849,15532280.8548,-926250132.3102
1778515200000,14747993.3896,20315773.6538,-931817912.5744
1778518800000,11158326.1885,13253525.5032,-933913111.8891
1778522400000,10309638.8788,14961847.1332,-938565320.1435
1778526000000,6927309.493,9704396.3294,-941342406.9799
1778529600000,7292406.8302,10475941.611,-944525941.7607
1778533200000,6170947.2318,5810599.6524,-944165594.1813
1778536800000,7314736.7516,6423422.6179,-943274280.0476
1778540400000,4456385.708,4275526.9053,-943093421.2449
1778544000000,6491948.3365,5381795.6428,-941983268.5512
1778547600000,28100334.2441,34885646.6443,-948768580.9514
1778551200000,10863306.9259,9295780.9186,-947201054.9441
1778554800000,5196921.6382,8079448.5256,-950083581.8315
1778558400000,4720243.9389,7628828.4036,-952992166.2962
1778562000000,5007012.3324,9233751.059,-957218905.0228
1778565600000,6805227.4294,11910442.3383,-962324119.9317
1778569200000,15652442.5801,20593905.7084,-967265583.06
1778572800000,28192750.3337,31233063.6794,-970305896.4057
1778576400000,13813695.605,11572838.4609,-968065039.2616
1778580000000,13403501.6053,19555654.0297,-974217191.686
1778583600000,9383396.7463,11339253.1735,-976173048.1132
1778587200000,11662594.9449,12837758.3158,-977348211.4841
1778590800000,15775332.6088,25217686.8986,-986790565.7739
1778594400000,19571373.0269,22377709.0241,-989596901.7711
1778598000000,14710974.8752,22667621.9269,-997553548.8228
1778601600000,11784684.9826,13963172.6867,-999732036.5269
1778605200000,7598339.3228,6942838.3764,-999076535.5805
1778608800000,7736144.4257,7601786.6484,-998942177.8032
1778612400000,6161206.3925,5802111.8298,-998583083.2405
1778616000000,3203955.3977,5201421.6525,-1000580549.4953
1778619600000,3818903.3869,3968553.7921,-1000730199.9005
1778623200000,4219105.6306,5776672.8801,-1002287767.15
1778626800000,3930822.4145,8725208.4979,-1007082153.2334
1778630400000,5336390.3446,5575500.9134,-1007321263.8022
1778634000000,10059996.16,9034886.0655,-1006296153.7077
1778637600000,7543881.3936,7881389.929,-1006633662.2431
1778641200000,7062304.8235,6239532.4841,-1005810889.9037
1778644800000,6497318.793,6559295.2081,-1005872866.3188
1778648400000,3326779.9397,10499943.209,-1013046029.5881
1778652000000,5719915.7374,4417770.1284,-1011743883.9791
1778655600000,4361247.3697,5216295.6122,-1012598932.2216
1778659200000,16053757.6703,10049806.2801,-1006594980.8314
1778662800000,15570693.6218,12675883.1097,-1003700170.3193
1778666400000,7235661.0581,9445430.5875,-1005909939.8487
1778670000000,12017184.4325,8622509.4095,-1002515264.8257
1778673600000,21852190.4368,27999407.2307,-1008662481.6196
1778677200000,27824594.3725,30001214.7704,-1010839102.0175
1778680800000,28209512.851,25483479.1149,-1008113068.2814
1778684400000,26228898.1382,42198601.4836,-1024082771.6268
1778688000000,28337170.8863,25455890.3301,-1021201491.0706
1778691600000,9583662.8051,11507658.9275,-1023125487.193
