time,agg_taker_buy_vol,agg_taker_sell_vol,cum_vol_delta
1777687200000,8345133.5184,5920372.0253,-169835067.9066
1777690800000,6242047.4898,4493168.9271,-168086189.3439
1777694400000,3014533.5411,5763497.3043,-170835153.1071
1777698000000,3527680.0052,6536804.4898,-173844277.5917
1777701600000,6726746.0732,5165736.2404,-172283267.7589
1777705200000,6186904.2814,10342257.336,-176438620.8135
1777708800000,6246546.7267,5421334.7314,-175613408.8182
1777712400000,4690288.7081,4445576.8668,-175368696.9769
1777716000000,4181026.8433,4370863.3705,-175558533.5041
1777719600000,3421765.7291,5261789.2737,-177398557.0487
1777723200000,4424088.6692,4878318.9868,-177852787.3663
1777726800000,11252202.1011,7127135.4858,-173727720.751
1777730400000,4993089.7471,5193070.8803,-173927701.8842
1777734000000,4391423.0647,4129266.1976,-173665545.0171
1777737600000,8197831.215,6140558.5879,-171608272.39
1777741200000,2945279.4217,4682023.3167,-173345016.285
1777744800000,7839418.2765,10217774.8511,-175723372.8596
1777748400000,4211579.2247,3551897.895,-175063691.5299
1777752000000,3325068.7816,3487577.4378,-175226200.1861
1777755600000,45127332.9212,26134694.3453,-156233561.6102
1777759200000,29294957.4651,23420501.3302,-150359105.4753
1777762800000,10427424.2105,12436790.7946,-152368472.0594
1777766400000,8888362.3498,13399375.8705,-156879485.5801
1777770000000,6410446.1036,11031773.0885,-161500812.565
1777773600000,11036402.8081,10823420.7883,-161287830.5452
1777777200000,5602870.5139,8851099.3231,-164536059.3544
1777780800000,5946820.1327,6479689.3077,-165068928.5294
1777784400000,3044436.5944,3519572.0031,-165544063.9381
1777788000000,4907946.4601,4539663.3149,-165175780.7929
1777791600000,8888708.8344,6823130.1461,-163110202.1046
1777795200000,3805381.5024,4375240.2555,-163680060.8577
1777798800000,14772668.726,8403402.4973,-157310794.629
1777802400000,3455625.3813,4360360.1182,-158215529.3659
1777806000000,16791614.6974,11330152.5892,-152754067.2577
1777809600000,18768835.9489,14185480.3649,-148170711.6737
1777813200000,8278338.3513,12751911.5433,-152644284.8657
1777816800000,7814047.9155,9871331.7265,-154701568.6767
1777820400000,11621969.6371,18054568.7948,-161134167.8344
1777824000000,15393257.1359,24239701.2557,-169980611.9542
1777827600000,14067652.5012,13965803.1963,-169878762.6493
1777831200000,3350981.5276,4894547.7185,-171422328.8402
1777834800000,13395414.5438,9018501.7959,-167045416.0923
1777838400000,26160038.2183,26172245.8058,-167057623.6798
1777842000000,13628094.3901,17457136.5556,-170886665.8453
1777845600000,55171959.7679,46178089.4453,-161892795.5227
1777849200000,23186347.2946,29911595.8905,-168618044.1186
1777852800000,21599311.1175,27556992.7604,-174575725.7615
1777856400000,41142386.1351,35752687.2427,-169186026.8691
1777860000000,112677251.7155,107340379.9243,-163849155.0779
1777863600000,63920182.4701,55981451.0169,-155910423.6247
1777867200000,43553585.9848,40291330.2358,-152648167.8757
1777870800000,25424193.7782,39803322.4903,-167027296.5878
1777874400000,28271985.8418,43513912.6552,-182269223.4012
1777878000000,18438023.8089,24931181.8772,-188762381.4695
1777881600000,19099491.5231,19869087.5665,-189531977.5129
1777885200000,17153991.5707,17864282.5059,-190242268.4481
1777888800000,112005080.9127,121562796.675,-199799984.2104
1777892400000,19210793.9141,26478515.3746,-207067705.6709
1777896000000,21189704.3173,19837623.3204,-205715624.674
1777899600000,38099401.8036,39082310.5843,-206698533.4547
1777903200000,76386517.6719,70111394.8767,-200423410.6595
1777906800000,70808760.8353,90058802.5454,-219673452.3696
1777910400000,47220881.4326,46514227.6608,-218966798.5978
1777914000000,37269591.6867,39630703.7315,-221327910.6426
1777917600000,22396491.8654,31762534.6425,-230693953.4197
1777921200000,17045911.1171,19278432.9389,-232926475.2415
1777924800000,9846593.6411,10386447.2409,-233466328.8413
1777928400000,9498526.3993,6726289.8419,-230694092.2839
1777932000000,10178075.436,11654498.0108,-232170514.8587
1777935600000,7024932.2362,11929319.0529,-237074901.6754
1777939200000,10033068.2774,8481660.9204,-235523494.3184
